Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
4013,Artem Dovbyk,UKR,FW,Roma,Serie A,28,26.9,2418,1.84,76.0,2,11,355,12,74.1,,,33,0,14,10,,12,2,25,79,10.3,,,4,24,16,175,26,,,4,6,2,654,2.4,11.9
4014,Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,31,26.9,2418,1.88,72.0,8,24,538,26,61.7,,,11,3,16,7,,8,8,61,31,8.5,,,30,26,86,166,65,,,10,18,7,1105,8.5,10.1
4015,Alfred Duncan,GHA,MF,Venezia,Serie A,32,10.6,957,1.78,78.0,0,7,311,8,81.1,,,14,0,0,0,,0,8,11,14,0.8,,,19,11,53,12,52,,,17,25,8,587,1.1,0.8
4016,Chidera Ejuke,NGA,FW,Sevilla,La Liga,27,10.7,966,1.76,72.0,1,17,416,8,81.6,,,22,0,3,2,,2,5,21,35,1.1,,,20,75,38,101,63,,,19,24,13,612,1.9,1.1
4017,Jeff Ekhator,ITA,"FW,MF",Genoa,Serie A,18,8.5,769,ND,ND,1,6,130,5,66.7,,,9,0,2,1,,1,2,11,34,1.3,,,4,4,14,51,32,,,7,9,4,254,1.0,1.3
4018,Jurgen Ekkelenkamp,NED,MF,Udinese,Serie A,25,21.0,1892,1.88,80.0,2,17,457,26,79.7,,,7,0,5,3,,3,12,15,23,2.8,,,11,34,72,86,82,,,36,48,25,868,1.3,2.8
4019,Caleb Ekuban,GHA,FW,Genoa,Serie A,31,6.2,555,1.82,80.0,3,4,97,6,67.3,,,12,0,4,1,,1,1,8,17,2.8,,,1,7,8,42,20,,,3,4,3,174,0.8,2.8
4020,Elif Elmas,MKD,"FW,MF",Torino,Serie A,25,11.3,1021,1.82,68.0,0,4,303,5,80.4,,,10,2,4,4,,4,6,9,22,1.4,,,15,42,34,58,33,,,10,16,7,444,0.4,1.4
4021,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,31,16.2,1457,1.78,72.0,0,9,624,96,85.4,,,6,0,0,0,,0,11,4,14,0.4,,,2,17,51,4,53,,,20,31,11,1092,0.2,0.4
4022,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,22,25.5,2293,1.95,85.0,3,7,341,30,80.3,,,30,0,17,14,,14,1,18,59,17.0,,,4,37,14,104,60,,,6,7,6,577,2.4,17.0
4023,Julio Enciso,PAR,"MF,FW",Ipswich Town,Premier League,21,9.7,869,1.68,64.0,3,11,205,6,69.0,,,30,0,5,2,,2,1,13,24,1.7,,,8,23,28,44,43,,,12,13,9,406,1.4,1.7
4024,Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,33,9.3,833,1.71,71.0,1,12,307,32,74.3,,,9,1,1,0,,0,12,5,10,0.4,,,6,10,39,29,55,,,41,53,24,637,0.6,0.4
4025,Samuel Essende,COD,FW,Augsburg,Bundesliga,27,18.2,1636,1.92,88.0,2,12,347,11,64.8,,,37,1,9,7,,7,0,11,86,4.2,,,6,33,21,118,42,,,7,7,6,564,1.3,4.2
4026,Nahuel Estévez,ARG,MF,Parma,Serie A,29,7.3,657,1.81,77.0,0,8,148,26,75.7,,,4,0,0,0,,0,3,6,3,0.1,,,1,3,30,4,28,,,16,19,6,379,0.8,0.1
4027,Giovanni Fabbian,ITA,MF,Bologna,Serie A,22,11.4,1023,ND,ND,1,9,198,4,71.9,,,18,0,4,3,,3,2,9,30,2.3,,,5,14,17,43,31,,,10,12,6,328,1.3,2.3
4028,Alieu Fadera,GAM,"FW,DF",Como,Serie A,23,18.3,1644,1.82,71.0,3,28,544,10,74.6,,,33,0,4,1,,1,12,23,41,1.7,,,24,74,36,160,95,,,64,76,47,844,4.0,1.7
4029,Jacopo Fazzini,ITA,MF,Empoli,Serie A,22,15.4,1383,1.78,70.0,1,19,364,24,71.6,,,33,0,5,4,,4,6,12,39,3.1,,,10,34,49,88,70,,,32,38,19,639,0.5,3.1
4030,Mattia Felici,ITA,"MF,FW",Cagliari,Serie A,24,10.3,925,ND,ND,3,14,259,7,67.9,,,10,1,3,0,,0,7,10,26,0.6,,,3,39,19,75,51,,,17,24,12,422,1.0,0.6
4031,André Ferreira,POR,GK,Valladolid,La Liga,29,6.0,540,1.93,85.0,0,0,83,4,70.8,0.0,0.0,0,2,0,0,20.0,0,0,0,0,0.0,3.0,0.0,0,0,0,0,6,56.4,19.0,0,0,0,216,0.0,0.0
4032,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,33,19.7,1773,1.72,70.0,2,10,802,20,88.3,,,27,0,2,0,,0,9,13,16,0.4,,,11,19,137,42,132,,,42,51,23,1433,0.9,0.4
4033,Daniel Fila,CZE,FW,Venezia,Serie A,22,5.5,492,ND,ND,0,2,82,5,77.8,,,14,0,2,2,,2,0,6,16,1.4,,,3,5,8,30,9,,,2,2,0,147,0.3,1.4
4034,Wesley Fofana,FRA,DF,Chelsea,Premier League,24,13.0,1172,1.85,76.0,0,4,557,55,90.2,,,5,2,0,0,,0,14,6,16,0.4,,,1,19,32,4,54,,,13,27,12,933,0.4,0.4
4035,Héctor Fort,ESP,DF,Barcelona,La Liga,18,6.5,585,ND,ND,0,12,308,16,90.1,,,4,0,0,0,,0,6,10,4,0.2,,,3,14,26,33,32,,,13,19,8,573,0.9,0.2
4036,Alejandro Francés,ESP,DF,Girona,La Liga,22,13.0,1173,ND,ND,0,21,496,52,84.3,,,1,0,0,0,,0,17,4,8,0.2,,,6,18,63,21,37,,,36,53,24,969,0.3,0.2
4037,Davide Frattesi,ITA,MF,Inter,Serie A,25,12.9,1158,1.84,74.0,1,10,296,14,82.5,,,4,1,6,5,,5,5,7,20,4.0,,,5,23,31,50,48,,,17,22,8,499,0.8,4.0
4038,Marvin Friedrich,GER,DF,Gladbach,Bundesliga,29,11.0,989,1.93,78.0,1,6,502,57,88.4,,,3,0,1,0,,0,5,3,5,0.4,,,1,11,36,3,42,,,15,20,9,822,0.6,0.4
4039,Jeremie Frimpong,NED,"DF,MF",Liverpool FC,Bundesliga,24,25.7,2314,1.72,67.0,5,29,673,22,76.1,,,26,1,10,5,,5,8,30,45,4.1,,,29,100,55,272,84,,,33,41,25,1205,4.2,4.1
4040,Chris Führich,GER,"MF,FW",Stuttgart,Bundesliga,27,22.0,1981,1.78,70.0,3,20,782,19,80.5,,,26,0,5,2,,2,6,32,37,2.9,,,51,114,95,202,64,,,15,21,10,1220,3.7,2.9
4041,Niclas Füllkrug,GER,FW,West Ham,Premier League,32,8.8,790,1.88,82.0,2,7,123,16,67.2,,,7,0,5,3,,3,1,14,18,2.2,,,5,7,14,31,18,,,4,5,3,277,1.9,2.2
4042,Gianluca Gaetano,ITA,"MF,FW",Cagliari Calcio,Serie A,25,11.2,1009,1.81,71.0,4,11,297,8,72.3,,,16,0,6,2,,2,6,22,31,4.9,,,13,11,41,82,34,,,11,17,8,490,2.2,4.9
4043,Javi Galán,ESP,DF,Atlético Madrid,La Liga,30,19.8,1784,1.72,64.0,3,24,739,47,82.9,,,15,0,3,0,,0,12,15,22,0.2,,,22,52,54,107,71,,,51,63,31,1270,3.9,0.2
